country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Togo,Togo,TG,,,Centre,,Mô,,Saiboude,Africa/Lome,UTC+0.0,8.56751889598527,0.556508591024015
Togo,Togo,TG,,,Centre,,Mô,,Tindjassi,Africa/Lome,UTC+0.0,8.65101399198947,0.528057829677605
Togo,Togo,TG,,,Centre,,Sotouboua,,Adjengere,Africa/Lome,UTC+0.0,8.67778092326438,0.995981396844234
Togo,Togo,TG,,,Centre,,Sotouboua,,Aouda,Africa/Lome,UTC+0.0,8.85402466299495,0.894929836643572
Togo,Togo,TG,,,Centre,,Sotouboua,,Bodjonde,Africa/Lome,UTC+0.0,8.44140104687663,1.03268067278016
Togo,Togo,TG,,,Centre,,Sotouboua,,Fazao,Africa/Lome,UTC+0.0,8.74898511457285,0.778744646143771
Togo,Togo,TG,,,Centre,,Sotouboua,,Kaniamboua,Africa/Lome,UTC+0.0,8.60093274780278,0.998009936502837
Togo,Togo,TG,,,Centre,,Sotouboua,,Kazaboua,Africa/Lome,UTC+0.0,8.42088627722207,1.14088501953676
Togo,Togo,TG,,,Centre,,Sotouboua,,Sessaro,Africa/Lome,UTC+0.0,8.59938817183893,1.20824904816844
Togo,Togo,TG,,,Centre,,Sotouboua,,Sotouboua,Africa/Lome,UTC+0.0,8.55251318946888,0.850169171054458
Togo,Togo,TG,,,Centre,,Sotouboua,,Tabinde,Africa/Lome,UTC+0.0,8.51184203919705,1.13181846950476
Togo,Togo,TG,,,Centre,,Sotouboua,,Tchebebe,Africa/Lome,UTC+0.0,8.4381452225309,0.843487597223739
Togo,Togo,TG,,,Centre,,Sotouboua,,Titigbe,Africa/Lome,UTC+0.0,8.60321138728237,1.10441487744718
Togo,Togo,TG,,,Centre,,Tchamba,,Affem,Africa/Lome,UTC+0.0,9.11390736488942,1.52531653372875
Togo,Togo,TG,,,Centre,,Tchamba,,Alibi,Africa/Lome,UTC+0.0,8.80220805181468,1.35564677958873
Togo,Togo,TG,,,Centre,,Tchamba,,Bago,Africa/Lome,UTC+0.0,8.42701280638,1.34560107233949
Togo,Togo,TG,,,Centre,,Tchamba,,Balanka,Africa/Lome,UTC+0.0,8.85452050312578,1.60245352629789
Togo,Togo,TG,,,Centre,,Tchamba,,Goubi,Africa/Lome,UTC+0.0,8.63121051065395,1.49705319242774
Togo,Togo,TG,,,Centre,,Tchamba,,Kaboli,Africa/Lome,UTC+0.0,8.58019228955514,1.47629684104901
Togo,Togo,TG,,,Centre,,Tchamba,,Koussountou,Africa/Lome,UTC+0.0,8.85198854283219,1.51190050715344
Togo,Togo,TG,,,Centre,,Tchamba,,Kri-Kri,Africa/Lome,UTC+0.0,9.19436579741346,1.45126054579847
Togo,Togo,TG,,,Centre,,Tchamba,,Larni,Africa/Lome,UTC+0.0,9.07936528920962,1.42113924485457
Togo,Togo,TG,,,Centre,,Tchamba,,Tchamba,Africa/Lome,UTC+0.0,9.00399615899001,1.49699868739793
Togo,Togo,TG,,,Centre,,Tchaudjo,,Agoulou,Africa/Lome,UTC+0.0,9.17586800500138,1.36028387407373
Togo,Togo,TG,,,Centre,,Tchaudjo,,Aleheride/Amaide,Africa/Lome,UTC+0.0,9.16262397029995,1.16363921093341
Togo,Togo,TG,,,Centre,,Tchaudjo,,Kadambara,Africa/Lome,UTC+0.0,8.81084563771827,1.23254553358004
Togo,Togo,TG,,,Centre,,Tchaudjo,,Kemeni,Africa/Lome,UTC+0.0,9.19180386445961,1.27886212994814
Togo,Togo,TG,,,Centre,,Tchaudjo,,Kolina,Africa/Lome,UTC+0.0,9.08763755677583,1.17034673280422
Togo,Togo,TG,,,Centre,,Tchaudjo,,Komah,Africa/Lome,UTC+0.0,9.00292305687285,1.17431143013914
Togo,Togo,TG,,,Centre,,Tchaudjo,,Kpangalam,Africa/Lome,UTC+0.0,9.08775416566372,1.05883819301573
Togo,Togo,TG,,,Centre,,Tchaudjo,,Kparatao,Africa/Lome,UTC+0.0,8.9507713010451,1.26197387755679
Togo,Togo,TG,,,Centre,,Tchaudjo,,Kpassouade,Africa/Lome,UTC+0.0,9.0447021588842,1.30689286694385
Togo,Togo,TG,,,Centre,,Tchaudjo,,Lama-Tessi,Africa/Lome,UTC+0.0,8.8500908149363,1.04598378317315
Togo,Togo,TG,,,Centre,,Tchaudjo,,Tchalo,Africa/Lome,UTC+0.0,8.96867952219547,1.02726742095659
Togo,Togo,TG,,,Centre,,Tchaudjo,,Wassarabo,Africa/Lome,UTC+0.0,8.9996163234502,1.26413606508801
Togo,Togo,TG,,,Kara,,Assoli,,Aledjo,Africa/Lome,UTC+0.0,9.26584725076845,1.14794612634921
Togo,Togo,TG,,,Kara,,Assoli,,Bafilo,Africa/Lome,UTC+0.0,9.35743093151832,1.2344505083479
Togo,Togo,TG,,,Kara,,Assoli,,Boulade,Africa/Lome,UTC+0.0,9.40807305203425,1.22534061641017
Togo,Togo,TG,,,Kara,,Assoli,,Dako/Daoude,Africa/Lome,UTC+0.0,9.3483197821251,1.04893626441321
Togo,Togo,TG,,,Kara,,Assoli,,Koumonde,Africa/Lome,UTC+0.0,9.27891241593514,1.28024296290057
Togo,Togo,TG,,,Kara,,Assoli,,Soudou,Africa/Lome,UTC+0.0,9.35920109016688,1.35267132204774
Togo,Togo,TG,,,Kara,,Bassar,,Baghan,Africa/Lome,UTC+0.0,9.00754573026048,0.582975479876855
Togo,Togo,TG,,,Kara,,Bassar,,Bangeli,Africa/Lome,UTC+0.0,9.4153156568439,0.625121204833266
Togo,Togo,TG,,,Kara,,Bassar,,Bassar,Africa/Lome,UTC+0.0,9.19778575996891,0.840459591685539
Togo,Togo,TG,,,Kara,,Bassar,,Bitchabe,Africa/Lome,UTC+0.0,9.29270934007535,0.583429882424082
Togo,Togo,TG,,,Kara,,Bassar,,Dimori,Africa/Lome,UTC+0.0,9.15668961656756,0.570779393908647
Togo,Togo,TG,,,Kara,,Bassar,,Dimori,Africa/Lome,UTC+0.0,9.25283704489069,0.509431181704177
Togo,Togo,TG,,,Kara,,Bassar,,Kabou,Africa/Lome,UTC+0.0,9.49012471728133,0.785643738485652
Togo,Togo,TG,,,Kara,,Bassar,,Kalanga,Africa/Lome,UTC+0.0,9.2648732432111,0.67277147646418
Togo,Togo,TG,,,Kara,,Bassar,,Manga,Africa/Lome,UTC+0.0,9.55971494224849,0.702035584369117
Togo,Togo,TG,,,Kara,,Bassar,,Sanda-Afohou,Africa/Lome,UTC+0.0,9.49585473962682,0.955301034129896
Togo,Togo,TG,,,Kara,,Bassar,,Sanda-Kagbanda,Africa/Lome,UTC+0.0,9.51300789827787,0.887997491349288
Togo,Togo,TG,,,Kara,,Bimah,,Boufale,Africa/Lome,UTC+0.0,9.85427367232343,1.32423837640377
Togo,Togo,TG,,,Kara,,Bimah,,Kemerida,Africa/Lome,UTC+0.0,9.62280839989204,1.34832468179511
Togo,Togo,TG,,,Kara,,Bimah,,Ketao,Africa/Lome,UTC+0.0,9.67541765040663,1.33246626618633
Togo,Togo,TG,,,Kara,,Bimah,,Lama-Dessi,Africa/Lome,UTC+0.0,9.72670815464204,1.26173937199475
Togo,Togo,TG,,,Kara,,Bimah,,Pagouda,Africa/Lome,UTC+0.0,9.7727882258016,1.31381797046151
Togo,Togo,TG,,,Kara,,Bimah,,Pessare,Africa/Lome,UTC+0.0,9.80033141894116,1.23127517465167
Togo,Togo,TG,,,Kara,,Bimah,,Pitikita,Africa/Lome,UTC+0.0,9.76418320578611,1.2733327132743
Togo,Togo,TG,,,Kara,,Bimah,,Sirka,Africa/Lome,UTC+0.0,9.54663958833488,1.31632557990032
Togo,Togo,TG,,,Kara,,Bimah,,Sola,Africa/Lome,UTC+0.0,9.94272318192273,1.3324033526235
Togo,Togo,TG,,,Kara,,Dankpen,,Bapure,Africa/Lome,UTC+0.0,9.52275323144318,0.573257165458331
Togo,Togo,TG,,,Kara,,Dankpen,,Guerin-Kouka,Africa/Lome,UTC+0.0,9.71025202855206,0.571090751061488
Togo,Togo,TG,,,Kara,,Dankpen,,Katchamba,Africa/Lome,UTC+0.0,9.8870367195831,0.505966463910749
Togo,Togo,TG,,,Kara,,Dankpen,,Kidjaboun,Africa/Lome,UTC+0.0,9.78144873470404,0.435992850957261
Togo,Togo,TG,,,Kara,,Dankpen,,Koulfiekou,Africa/Lome,UTC+0.0,9.92457401969072,0.396720547137664
Togo,Togo,TG,,,Kara,,Dankpen,,Koutchitcheou,Africa/Lome,UTC+0.0,9.62461873772689,0.773098155494342
Togo,Togo,TG,,,Kara,,Dankpen,,Namon,Africa/Lome,UTC+0.0,9.70258008327886,0.813004840878863
Togo,Togo,TG,,,Kara,,Dankpen,,Nampoch,Africa/Lome,UTC+0.0,9.81904041891717,0.650446419211824
Togo,Togo,TG,,,Kara,,Dankpen,,Nandouta,Africa/Lome,UTC+0.0,9.52911812118748,0.367069201113794
Togo,Togo,TG,,,Kara,,Dankpen,,Natchibore,Africa/Lome,UTC+0.0,9.81349198808924,0.79167952287235
Togo,Togo,TG,,,Kara,,Dankpen,,Natchitikpi,Africa/Lome,UTC+0.0,9.71769493778701,0.719593970751349
Togo,Togo,TG,,,Kara,,Dankpen,,Naware,Africa/Lome,UTC+0.0,9.61884310995032,0.533444821667589
Togo,Togo,TG,,,Kara,,Dankpen,,Naware,Africa/Lome,UTC+0.0,9.6137418541608,0.371258560612973
Togo,Togo,TG,,,Kara,,Dankpen,,Naware,Africa/Lome,UTC+0.0,9.61867749933341,0.369975173000133
